benchmark,expected,actual,time_s,result
Ackermann01,false,false,.64s,CORRECT
Addition,true,true,.66s,CORRECT
InfiniteLoop,false,false,.60s,CORRECT
SatAckermann01,true,true,11.24s,CORRECT
SatAckermann02,true,true,11.42s,CORRECT
SatAckermann03,true,true,11.36s,CORRECT
SatAddition01,true,true,.84s,CORRECT
SatEvenOdd01,true,true,.60s,CORRECT
SatFibonacci01,true,true,.87s,CORRECT
SatFibonacci02,true,true,.47s,CORRECT
SatFibonacci03,true,true,1.25s,CORRECT
SatGcd,true,timeout,60,TIMEOUT
SatHanoi01,true,true,3.11s,CORRECT
SatMccarthy91,true,timeout,60,TIMEOUT
SatMultCommutative01,true,true,.81s,CORRECT
SatPrimes01,true,timeout,60,TIMEOUT
UnsatAckermann01,false,false,.71s,CORRECT
UnsatAddition01,false,false,.62s,CORRECT
UnsatAddition02,false,true,.91s,INCORRECT
UnsatEvenOdd01,false,false,.62s,CORRECT
UnsatFibonacci01,false,false,.67s,CORRECT
UnsatFibonacci02,false,false,.92s,CORRECT
UnsatMccarthy91,false,false,.60s,CORRECT
